QuestionId,QuestionCreation,QuestionLastActivity,AcceptedAnsId,AcceptedDate,QScore,QVotes
564,2011-11-24T18:04:25.050,2012-01-06T03:38:23.440,565,2011-11-28T00:00:00.000,9,11
566,2011-11-24T19:38:32.850,2012-01-04T04:46:53.817,572,2011-12-03T00:00:00.000,7,7
567,2011-11-24T19:40:32.657,2011-11-27T10:34:11.883,,,10,11
570,2011-11-24T19:50:51.793,2013-05-28T18:47:24.397,,,1,1
578,2011-11-25T02:39:51.600,2012-02-10T00:15:22.523,786,2011-12-09T00:00:00.000,5,6
579,2011-11-25T05:25:07.507,2012-03-06T23:10:40.540,669,2012-01-30T00:00:00.000,4,6
580,2011-11-25T05:46:18.183,2013-10-24T03:10:59.960,585,2012-01-17T00:00:00.000,3,3
581,2011-11-25T05:51:56.003,2012-03-12T13:24:55.223,1205,2012-01-30T00:00:00.000,5,5
582,2011-11-25T06:00:09.230,2012-07-04T22:14:37.330,584,2011-12-06T00:00:00.000,10,11
583,2011-11-25T06:05:04.183,2013-04-07T01:58:22.523,586,2011-11-26T00:00:00.000,7,8
590,2011-11-25T08:52:56.297,2011-11-27T04:50:59.653,595,2011-12-04T00:00:00.000,2,2
596,2011-11-25T17:25:25.193,2012-02-05T12:15:07.213,598,2011-12-16T00:00:00.000,8,8
609,2011-11-26T10:58:36.327,2011-11-27T13:21:28.707,613,2011-11-29T00:00:00.000,9,9
611,2011-11-26T11:46:45.740,2011-11-26T12:23:03.520,612,2011-11-29T00:00:00.000,5,5
626,2011-11-27T13:13:19.550,2013-04-07T01:57:18.270,,,13,16
629,2011-11-27T14:43:21.880,2011-12-16T18:08:49.560,647,2011-11-30T00:00:00.000,7,8
631,2011-11-27T18:44:58.227,2012-06-26T01:52:51.893,636,2011-11-30T00:00:00.000,5,5
633,2011-11-27T20:34:32.280,2011-11-29T17:54:27.093,634,2011-11-30T00:00:00.000,11,12
638,2011-11-28T03:43:31.430,2011-12-03T19:29:21.337,642,2011-12-07T00:00:00.000,10,11
643,2011-11-28T15:07:49.730,2012-01-10T12:08:39.637,645,2011-11-30T00:00:00.000,15,17
646,2011-11-28T16:10:15.410,2011-11-29T15:17:15.780,648,2011-12-02T00:00:00.000,5,5
652,2011-11-28T21:12:30.887,2015-06-09T10:36:04.710,657,2011-11-29T00:00:00.000,19,23
655,2011-11-29T02:11:27.433,2012-02-10T00:10:06.480,656,2011-11-29T00:00:00.000,7,7
661,2011-11-29T18:15:38.940,2011-12-02T12:58:37.457,663,2011-12-06T00:00:00.000,10,11
662,2011-11-29T18:20:16.263,2011-12-02T01:02:26.837,665,2011-11-30T00:00:00.000,6,6
664,2011-11-29T18:46:15.447,2013-11-29T12:47:35.383,666,2011-12-06T00:00:00.000,5,5
667,2011-11-29T23:43:27.160,2011-11-30T02:18:09.380,,,2,3
670,2011-11-30T03:04:20.813,2013-07-30T07:55:36.557,683,2011-12-01T00:00:00.000,5,7
671,2011-11-30T03:06:59.503,2012-03-29T14:38:20.730,681,2011-12-03T00:00:00.000,9,9
672,2011-11-30T03:10:39.893,2011-12-03T00:04:19.120,,,6,6
673,2011-11-30T03:15:56.407,2011-12-02T15:02:46.853,691,2011-11-30T00:00:00.000,3,3
675,2011-11-30T03:38:12.183,2014-10-02T14:55:31.883,685,2012-07-08T00:00:00.000,7,9
680,2011-11-30T05:46:04.737,2015-10-29T20:31:04.097,684,2012-01-17T00:00:00.000,7,9
686,2011-11-30T14:27:46.713,2011-11-30T19:52:16.830,687,,4,4
692,2011-11-30T15:13:59.850,2011-12-02T16:43:26.150,693,2011-12-04T00:00:00.000,5,5
694,2011-11-30T15:30:22.093,2012-06-21T15:59:23.250,696,2011-12-01T00:00:00.000,17,17
697,2011-11-30T17:02:20.833,2011-12-04T17:54:07.350,,,11,11
698,2011-11-30T17:49:15.713,2012-02-08T19:29:37.867,699,2012-01-17T00:00:00.000,5,5
704,2011-11-30T20:40:35.680,2015-03-11T16:19:39.683,705,2011-12-13T00:00:00.000,6,6
706,2011-11-30T22:16:07.753,2011-12-31T02:44:03.907,708,2011-12-01T00:00:00.000,9,9
709,2011-12-01T00:00:36.783,2012-01-11T17:21:27.590,710,2011-12-02T00:00:00.000,6,6
719,2011-12-01T18:58:14.667,2011-12-05T16:03:49.860,720,2011-12-05T00:00:00.000,6,7
722,2011-12-01T19:41:26.343,2015-03-12T18:12:15.717,724,2011-12-07T00:00:00.000,7,8
727,2011-12-01T23:47:13.057,2012-01-04T17:06:04.533,728,2012-01-24T00:00:00.000,4,4
737,2011-12-03T07:25:08.043,2013-04-07T23:20:29.837,739,2011-12-04T00:00:00.000,14,17
738,2011-12-03T07:47:31.777,2011-12-03T08:01:37.587,740,2012-02-22T00:00:00.000,2,2
742,2011-12-03T08:29:39.667,2011-12-03T11:15:47.320,,,4,4
744,2011-12-03T19:06:35.040,2011-12-05T16:19:05.980,765,2011-12-05T00:00:00.000,3,3
745,2011-12-03T19:16:03.940,2012-06-11T01:43:57.290,747,2011-12-04T00:00:00.000,7,7
746,2011-12-03T19:23:25.437,2011-12-04T06:05:25.667,748,2011-12-04T00:00:00.000,3,3
749,2011-12-04T03:34:15.233,2011-12-04T03:54:52.447,750,2011-12-04T00:00:00.000,6,6
764,2011-12-05T16:16:25.593,2011-12-05T20:07:10.620,779,2011-12-13T00:00:00.000,7,7
767,2011-12-05T16:33:14.200,2012-08-16T19:42:44.293,774,2011-12-13T00:00:00.000,10,10
768,2011-12-05T16:40:48.290,2011-12-05T17:14:38.690,,,-3,9
769,2011-12-05T16:49:31.547,2012-01-04T11:40:53.037,772,2011-12-13T00:00:00.000,10,13
775,2011-12-05T17:43:04.783,2011-12-05T22:25:44.463,776,2011-12-09T00:00:00.000,10,11
781,2011-12-05T21:59:19.187,2012-01-24T19:40:14.253,784,2012-01-24T00:00:00.000,1,2
782,2011-12-05T22:10:44.180,2012-02-13T07:21:14.827,783,2011-12-06T00:00:00.000,7,8
787,2011-12-06T15:14:30.373,2011-12-10T03:45:44.593,862,2012-10-05T00:00:00.000,11,11
789,2011-12-06T21:23:42.070,2011-12-07T10:28:19.663,791,2011-12-14T00:00:00.000,4,4
793,2011-12-06T22:20:07.807,2014-12-01T17:51:20.700,794,2012-01-24T00:00:00.000,17,19
798,2011-12-07T00:09:30.487,2012-03-06T23:10:47.017,,,18,23
805,2011-12-07T12:32:29.603,2011-12-08T14:14:30.270,808,2012-02-09T00:00:00.000,5,5
806,2011-12-07T12:46:43.060,2011-12-08T12:27:52.923,810,2015-08-04T00:00:00.000,4,4
811,2011-12-07T16:31:12.237,2015-10-21T13:02:38.590,,,13,13
812,2011-12-07T17:06:52.583,2011-12-08T16:09:42.040,813,2011-12-13T00:00:00.000,8,9
814,2011-12-07T21:33:35.353,2011-12-08T13:40:27.560,833,2015-04-07T00:00:00.000,4,4
815,2011-12-07T22:16:05.750,2014-01-21T13:36:52.053,824,2012-01-17T00:00:00.000,9,10
816,2011-12-07T22:22:07.533,2011-12-08T14:21:43.200,830,2012-01-30T00:00:00.000,3,3
817,2011-12-07T22:31:20.773,2011-12-08T16:28:08.007,820,2012-01-20T00:00:00.000,4,4
818,2011-12-07T22:39:13.707,2011-12-10T23:29:49.180,866,2011-12-13T00:00:00.000,3,3
827,2011-12-08T02:01:05.603,2015-09-10T12:21:59.420,831,2012-01-24T00:00:00.000,21,28
834,2011-12-08T14:22:01.453,2011-12-29T07:54:51.320,835,2011-12-08T00:00:00.000,6,7
836,2011-12-08T14:50:14.040,2015-06-25T03:59:06.380,838,2011-12-10T00:00:00.000,11,12
839,2011-12-08T19:26:39.500,2011-12-09T09:59:14.093,841,2011-12-09T00:00:00.000,6,6
842,2011-12-08T20:33:11.237,2014-04-30T13:45:30.487,843,2011-12-08T00:00:00.000,8,9
844,2011-12-08T22:51:34.090,2011-12-09T11:00:10.960,846,2011-12-09T00:00:00.000,5,5
847,2011-12-09T06:44:21.830,2011-12-09T11:06:58.553,850,2012-01-04T00:00:00.000,7,8
848,2011-12-09T06:49:20.730,2012-04-18T21:25:31.833,853,2011-12-10T00:00:00.000,5,5
849,2011-12-09T06:55:57.990,2011-12-14T03:13:09.930,851,2014-04-13T00:00:00.000,18,19
854,2011-12-09T12:08:02.520,2015-01-21T02:33:16.477,855,2012-02-22T00:00:00.000,9,10
857,2011-12-09T18:11:17.963,2011-12-12T22:29:23.100,858,2012-01-17T00:00:00.000,5,11
865,2011-12-10T02:16:44.697,2011-12-12T13:16:47.907,867,2012-01-24T00:00:00.000,5,6
870,2011-12-11T16:11:56.180,2011-12-16T14:46:25.333,874,2011-12-12T00:00:00.000,3,4
873,2011-12-12T02:47:52.843,2011-12-12T22:26:15.483,880,2011-12-12T00:00:00.000,5,5
875,2011-12-12T08:46:32.107,2011-12-15T10:35:35.927,877,2011-12-16T00:00:00.000,9,9
881,2011-12-12T16:52:50.593,2012-02-13T07:21:09.397,882,2011-12-13T00:00:00.000,7,9
884,2011-12-12T23:17:51.153,2012-02-08T17:42:24.940,886,2012-02-01T00:00:00.000,11,14
885,2011-12-12T23:23:18.537,2015-03-13T06:31:22.073,,,6,6
888,2011-12-13T02:23:33.920,2012-01-02T07:34:46.807,890,2011-12-13T00:00:00.000,9,9
898,2011-12-13T18:10:26.583,2011-12-13T20:05:59.860,902,2011-12-19T00:00:00.000,4,4
899,2011-12-13T18:17:17.693,2011-12-19T22:27:14.777,906,2011-12-19T00:00:00.000,4,4
900,2011-12-13T18:27:16.863,2015-08-23T23:38:34.393,901,2011-12-19T00:00:00.000,11,13
903,2011-12-13T19:15:33.753,2011-12-13T19:47:35.920,905,2011-12-19T00:00:00.000,4,4
904,2011-12-13T19:29:34.460,2012-02-13T07:19:32.547,908,2011-12-19T00:00:00.000,4,4
910,2011-12-13T23:33:40.077,2011-12-15T08:36:54.260,930,2012-01-30T00:00:00.000,4,5
913,2011-12-14T08:40:20.200,2015-06-05T03:18:40.593,915,2011-12-14T00:00:00.000,22,27
914,2011-12-14T08:48:37.653,2015-08-02T01:21:08.657,920,2011-12-15T00:00:00.000,12,12
917,2011-12-14T09:30:57.290,2015-11-21T18:47:33.520,919,2011-12-15T00:00:00.000,8,9
918,2011-12-14T09:38:56.100,2015-08-14T06:56:29.640,921,2011-12-15T00:00:00.000,19,23
922,2011-12-14T17:00:55.393,2011-12-14T18:06:05.723,923,2011-12-15T00:00:00.000,9,10
924,2011-12-14T17:57:03.540,2012-03-12T13:25:10.137,926,2012-01-17T00:00:00.000,4,4
932,2011-12-14T22:32:32.113,2011-12-15T18:20:22.513,967,2011-12-16T00:00:00.000,5,5
933,2011-12-14T22:35:50.187,2012-03-05T13:01:32.227,,,5,5
934,2011-12-14T22:45:26.080,2011-12-15T14:39:51.963,939,2011-12-31T00:00:00.000,4,4
935,2011-12-14T22:50:35.320,2014-06-23T06:50:04.630,937,2012-01-17T00:00:00.000,6,7
964,2011-12-15T15:43:26.783,2011-12-16T12:58:09.897,984,2011-12-19T00:00:00.000,7,9
965,2011-12-15T16:03:18.990,2011-12-17T13:23:28.750,981,2011-12-19T00:00:00.000,6,8
