QuestionId,CreationDate,LastActivity,Score,AnsCount,CommentCount,FavCount,Votes,ViewCount
319,2011-11-17T19:07:07.677,2013-10-24T15:02:15.043,9,4,4,3,14,5045
322,2011-11-17T19:20:58.823,2014-09-22T14:35:30.703,6,5,0,2,8,5027
323,2011-11-17T19:24:20.437,2011-11-20T02:29:38.957,6,4,2,4,12,3177
324,2011-11-17T19:31:35.517,2015-04-16T15:20:15.563,9,9,0,1,11,1213
328,2011-11-17T19:53:20.107,2015-08-19T09:30:44.263,21,2,1,5,26,1361
330,2011-11-17T20:17:38.277,2011-11-27T12:25:54.943,4,3,2,2,6,415
331,2011-11-17T20:29:04.903,2011-11-18T14:39:07.390,2,0,15,,4,816
338,2011-11-17T22:58:20.497,2011-11-19T03:10:44.157,2,2,3,,2,86
342,2011-11-17T23:46:35.527,2011-11-20T15:05:35.783,14,3,0,1,16,223
346,2011-11-18T00:27:24.200,2014-11-26T22:41:56.320,15,2,0,2,18,1350
352,2011-11-18T06:38:10.467,2012-04-18T21:25:43.347,8,5,7,,8,1375
356,2011-11-18T11:25:46.143,2012-02-05T09:45:49.163,6,2,2,1,8,900
359,2011-11-18T12:24:54.893,2014-12-10T21:51:12.573,8,2,3,1,9,647
362,2011-11-18T14:04:35.887,2012-02-15T18:25:52.750,7,4,2,,7,234
364,2011-11-18T14:25:35.943,2015-08-04T07:47:59.723,5,1,1,,5,204
369,2011-11-18T18:16:13.190,2013-05-28T18:49:22.407,4,1,3,1,8,2287
375,2011-11-18T21:37:04.010,2011-11-18T22:16:55.477,10,1,0,,10,240
377,2011-11-19T02:31:14.440,2014-09-18T17:29:37.303,7,3,2,2,9,683
378,2011-11-19T02:48:02.643,2011-11-19T09:25:34.813,5,1,0,1,6,195
381,2011-11-19T03:35:48.137,2011-11-19T19:55:01.890,14,1,0,1,15,123
383,2011-11-19T05:53:31.833,2011-11-22T08:53:16.523,7,1,0,,7,610
385,2011-11-19T09:01:57.243,2014-04-13T13:06:40.947,10,3,0,,10,2063
387,2011-11-19T10:12:20.940,2012-03-26T00:40:55.630,5,2,0,,5,337
394,2011-11-19T15:02:27.867,2011-11-22T00:50:40.820,8,2,0,1,9,683
396,2011-11-19T18:07:00.453,2012-02-13T07:19:23.670,9,1,0,,11,3931
403,2011-11-19T23:40:23.933,2011-11-22T16:38:12.843,2,1,4,,5,895
405,2011-11-20T01:44:38.840,2011-11-20T15:06:02.540,6,1,0,,7,203
407,2011-11-20T02:07:36.800,2012-09-15T19:49:08.763,10,1,1,2,14,1642
412,2011-11-20T18:30:00.063,2012-05-16T02:53:47.813,13,4,1,2,16,8052
414,2011-11-20T19:32:49.837,2011-11-23T22:38:48.487,4,2,0,,4,1588
417,2011-11-21T02:49:38.210,2011-11-21T09:39:08.483,5,1,2,,5,1285
418,2011-11-21T04:25:22.573,2014-02-18T13:14:55.270,13,2,0,0,13,16294
420,2011-11-21T06:02:30.193,2011-11-22T09:22:35.123,8,2,0,,8,159
426,2011-11-21T14:46:32.023,2011-11-25T18:12:29.507,8,3,0,,8,2491
429,2011-11-21T17:12:11.423,2014-05-28T00:38:48.137,7,2,2,,7,636
431,2011-11-21T17:46:32.713,2013-01-25T20:57:27.670,6,3,5,1,7,2878
432,2011-11-21T18:03:07.090,2013-02-07T07:33:54.397,6,5,5,1,7,2085
433,2011-11-21T18:14:48.827,2013-05-30T02:16:07.867,9,3,0,,9,8401
438,2011-11-21T19:06:25.760,2011-11-22T02:16:40.957,8,2,0,2,10,1042
441,2011-11-21T22:15:46.937,2013-11-16T15:13:09.550,11,9,1,5,16,4875
446,2011-11-21T23:09:25.327,2013-06-08T11:48:06.103,7,2,0,2,9,775
450,2011-11-21T23:55:25.203,2015-02-01T15:41:08.530,12,4,3,,12,4975
452,2011-11-22T00:51:00.567,2013-02-21T11:29:36.197,8,3,0,,8,4641
455,2011-11-22T02:37:14.433,2012-02-29T23:42:02.383,8,3,2,1,9,840
456,2011-11-22T06:19:19.307,2012-12-11T11:10:53.170,12,3,7,1,13,318
457,2011-11-22T09:26:55.917,2015-11-01T18:51:51.647,11,5,0,,12,2671
463,2011-11-22T14:30:06.163,2013-04-03T03:12:52.237,7,4,0,,7,1114
468,2011-11-22T16:15:29.030,2012-04-02T20:50:36.603,14,4,4,,15,451
471,2011-11-22T17:50:12.340,2014-07-02T00:45:14.333,9,4,7,,9,1711
475,2011-11-22T19:37:21.493,2011-11-22T19:57:50.487,3,1,0,,3,422
477,2011-11-22T20:33:36.693,2011-11-23T07:53:23.453,4,1,1,,4,156
478,2011-11-22T20:52:09.663,2015-09-29T22:28:45.333,3,3,5,,3,1198
479,2011-11-22T21:06:57.193,2012-04-20T08:12:14.623,4,4,8,,4,421
480,2011-11-22T21:29:46.480,2014-11-18T17:54:40.873,7,6,0,,8,1781
482,2011-11-22T21:50:08.560,2011-11-22T22:08:57.907,5,1,0,,5,93
484,2011-11-22T22:10:25.743,2012-01-07T00:39:21.987,5,4,2,,5,494
487,2011-11-22T22:20:21.400,2014-06-23T06:29:59.387,13,4,2,3,16,191
491,2011-11-22T22:30:43.173,2012-07-13T15:38:06.007,4,5,6,,4,332
503,2011-11-23T04:57:28.017,2012-03-20T17:12:14.170,3,3,11,1,4,795
504,2011-11-23T05:02:22.843,2012-04-18T21:24:35.220,9,3,1,2,11,5361
505,2011-11-23T05:11:55.507,2011-11-23T05:43:36.477,7,3,0,,7,2184
513,2011-11-23T06:55:28.163,2013-12-21T02:36:25.807,41,3,3,3,44,10028
521,2011-11-23T17:01:11.740,2015-06-11T22:54:42.610,20,6,8,8,29,623
523,2011-11-23T18:27:29.430,2015-10-29T11:13:43.897,32,10,3,6,38,11671
530,2011-11-23T19:26:54.110,2011-11-24T14:09:00.753,6,2,0,,6,111
536,2011-11-23T22:51:27.137,2015-08-12T19:05:03.460,8,7,0,1,10,909
539,2011-11-24T06:50:17.903,2015-08-19T09:28:18.203,12,7,8,5,17,4707
540,2011-11-24T08:03:49.747,2012-05-10T03:38:37.483,9,3,1,,9,682
541,2011-11-24T08:10:16.710,2011-12-01T02:04:31.487,7,4,1,,7,973
542,2011-11-24T08:18:58.860,2012-01-30T07:29:55.077,7,3,1,,7,713
555,2011-11-24T14:36:52.083,2012-04-26T19:48:52.733,14,6,2,2,17,588
558,2011-11-24T16:53:04.657,2011-12-01T12:49:27.707,8,2,9,,8,5744
559,2011-11-24T17:09:37.773,2012-03-07T15:10:24.113,18,6,0,1,20,1082
564,2011-11-24T18:04:25.050,2012-01-06T03:38:23.440,9,2,1,1,11,1037
566,2011-11-24T19:38:32.850,2012-01-04T04:46:53.817,7,1,7,,7,630
567,2011-11-24T19:40:32.657,2011-11-27T10:34:11.883,10,2,6,1,11,1493
570,2011-11-24T19:50:51.793,2013-05-28T18:47:24.397,1,0,8,,1,244
578,2011-11-25T02:39:51.600,2012-02-10T00:15:22.523,5,6,5,0,6,406
579,2011-11-25T05:25:07.507,2012-03-06T23:10:40.540,4,5,3,1,6,334
580,2011-11-25T05:46:18.183,2013-10-24T03:10:59.960,3,3,1,,3,16234
581,2011-11-25T05:51:56.003,2012-03-12T13:24:55.223,5,3,4,,5,742
582,2011-11-25T06:00:09.230,2012-07-04T22:14:37.330,10,3,0,1,11,3491
583,2011-11-25T06:05:04.183,2013-04-07T01:58:22.523,7,2,3,1,8,15309
590,2011-11-25T08:52:56.297,2011-11-27T04:50:59.653,2,2,1,,2,165
596,2011-11-25T17:25:25.193,2012-02-05T12:15:07.213,8,1,2,,8,182
609,2011-11-26T10:58:36.327,2011-11-27T13:21:28.707,9,3,2,,9,683
611,2011-11-26T11:46:45.740,2011-11-26T12:23:03.520,5,1,1,,5,179
626,2011-11-27T13:13:19.550,2013-04-07T01:57:18.270,13,3,3,2,16,670
629,2011-11-27T14:43:21.880,2011-12-16T18:08:49.560,7,3,1,,8,668
631,2011-11-27T18:44:58.227,2012-06-26T01:52:51.893,5,2,4,,5,228
633,2011-11-27T20:34:32.280,2011-11-29T17:54:27.093,11,2,1,,12,3907
638,2011-11-28T03:43:31.430,2011-12-03T19:29:21.337,10,1,2,1,11,437
643,2011-11-28T15:07:49.730,2012-01-10T12:08:39.637,15,5,1,2,17,600
646,2011-11-28T16:10:15.410,2011-11-29T15:17:15.780,5,5,0,,5,648
652,2011-11-28T21:12:30.887,2015-06-09T10:36:04.710,19,4,5,4,23,3147
655,2011-11-29T02:11:27.433,2012-02-10T00:10:06.480,7,2,4,,7,494
661,2011-11-29T18:15:38.940,2011-12-02T12:58:37.457,10,1,0,1,11,3653
662,2011-11-29T18:20:16.263,2011-12-02T01:02:26.837,6,3,3,,6,5396
664,2011-11-29T18:46:15.447,2013-11-29T12:47:35.383,5,2,0,,5,270
667,2011-11-29T23:43:27.160,2011-11-30T02:18:09.380,2,1,1,1,3,238
670,2011-11-30T03:04:20.813,2013-07-30T07:55:36.557,5,2,2,,7,461
671,2011-11-30T03:06:59.503,2012-03-29T14:38:20.730,9,3,2,,9,2806
672,2011-11-30T03:10:39.893,2011-12-03T00:04:19.120,6,2,0,,6,979
673,2011-11-30T03:15:56.407,2011-12-02T15:02:46.853,3,1,2,,3,513
675,2011-11-30T03:38:12.183,2014-10-02T14:55:31.883,7,1,1,1,9,1007
680,2011-11-30T05:46:04.737,2015-10-29T20:31:04.097,7,1,5,1,9,967
686,2011-11-30T14:27:46.713,2011-11-30T19:52:16.830,4,5,0,,4,2456
692,2011-11-30T15:13:59.850,2011-12-02T16:43:26.150,5,2,0,,5,184
694,2011-11-30T15:30:22.093,2012-06-21T15:59:23.250,17,4,4,,17,5778
697,2011-11-30T17:02:20.833,2011-12-04T17:54:07.350,11,3,3,,11,465
698,2011-11-30T17:49:15.713,2012-02-08T19:29:37.867,5,1,2,,5,986
704,2011-11-30T20:40:35.680,2015-03-11T16:19:39.683,6,1,1,,6,1396
706,2011-11-30T22:16:07.753,2011-12-31T02:44:03.907,9,3,7,,9,5824
709,2011-12-01T00:00:36.783,2012-01-11T17:21:27.590,6,1,1,,6,95
719,2011-12-01T18:58:14.667,2011-12-05T16:03:49.860,6,2,3,,7,355
722,2011-12-01T19:41:26.343,2015-03-12T18:12:15.717,7,6,1,1,8,585
727,2011-12-01T23:47:13.057,2012-01-04T17:06:04.533,4,5,1,,4,214
737,2011-12-03T07:25:08.043,2013-04-07T23:20:29.837,14,1,2,3,17,675
738,2011-12-03T07:47:31.777,2011-12-03T08:01:37.587,2,1,6,,2,318
742,2011-12-03T08:29:39.667,2011-12-03T11:15:47.320,4,1,1,,4,1517
744,2011-12-03T19:06:35.040,2011-12-05T16:19:05.980,3,1,2,,3,103
745,2011-12-03T19:16:03.940,2012-06-11T01:43:57.290,7,2,0,,7,195
746,2011-12-03T19:23:25.437,2011-12-04T06:05:25.667,3,1,1,,3,103
749,2011-12-04T03:34:15.233,2011-12-04T03:54:52.447,6,1,0,,6,402
764,2011-12-05T16:16:25.593,2011-12-05T20:07:10.620,7,2,0,,7,197
767,2011-12-05T16:33:14.200,2012-08-16T19:42:44.293,10,3,3,,10,21686
768,2011-12-05T16:40:48.290,2011-12-05T17:14:38.690,-3,1,4,,9,10196
769,2011-12-05T16:49:31.547,2012-01-04T11:40:53.037,10,2,1,3,13,912
775,2011-12-05T17:43:04.783,2011-12-05T22:25:44.463,10,3,0,1,11,2776
781,2011-12-05T21:59:19.187,2012-01-24T19:40:14.253,1,1,2,,2,1133
782,2011-12-05T22:10:44.180,2012-02-13T07:21:14.827,7,1,0,,8,151
787,2011-12-06T15:14:30.373,2011-12-10T03:45:44.593,11,3,9,,11,241
789,2011-12-06T21:23:42.070,2011-12-07T10:28:19.663,4,2,1,,4,533
793,2011-12-06T22:20:07.807,2014-12-01T17:51:20.700,17,7,6,2,19,2836
798,2011-12-07T00:09:30.487,2012-03-06T23:10:47.017,18,5,2,4,23,4890
805,2011-12-07T12:32:29.603,2011-12-08T14:14:30.270,5,3,3,,5,332
806,2011-12-07T12:46:43.060,2011-12-08T12:27:52.923,4,1,7,,4,99
811,2011-12-07T16:31:12.237,2015-10-21T13:02:38.590,13,3,5,,13,3822
812,2011-12-07T17:06:52.583,2011-12-08T16:09:42.040,8,1,2,1,9,914
814,2011-12-07T21:33:35.353,2011-12-08T13:40:27.560,4,2,3,,4,238
815,2011-12-07T22:16:05.750,2014-01-21T13:36:52.053,9,2,1,1,10,3231
816,2011-12-07T22:22:07.533,2011-12-08T14:21:43.200,3,2,3,,3,652
817,2011-12-07T22:31:20.773,2011-12-08T16:28:08.007,4,2,3,,4,172
818,2011-12-07T22:39:13.707,2011-12-10T23:29:49.180,3,4,3,,3,6579
827,2011-12-08T02:01:05.603,2015-09-10T12:21:59.420,21,4,4,7,28,110227
834,2011-12-08T14:22:01.453,2011-12-29T07:54:51.320,6,3,0,1,7,573
836,2011-12-08T14:50:14.040,2015-06-25T03:59:06.380,11,3,4,1,12,1016
839,2011-12-08T19:26:39.500,2011-12-09T09:59:14.093,6,2,1,,6,727
842,2011-12-08T20:33:11.237,2014-04-30T13:45:30.487,8,1,3,,9,592
844,2011-12-08T22:51:34.090,2011-12-09T11:00:10.960,5,1,9,,5,1028
847,2011-12-09T06:44:21.830,2011-12-09T11:06:58.553,7,1,0,1,8,2937
848,2011-12-09T06:49:20.730,2012-04-18T21:25:31.833,5,2,1,,5,439
849,2011-12-09T06:55:57.990,2011-12-14T03:13:09.930,18,4,1,1,19,4330
854,2011-12-09T12:08:02.520,2015-01-21T02:33:16.477,9,5,1,1,10,19792
857,2011-12-09T18:11:17.963,2011-12-12T22:29:23.100,5,5,3,4,11,2159
865,2011-12-10T02:16:44.697,2011-12-12T13:16:47.907,5,2,0,1,6,1826
870,2011-12-11T16:11:56.180,2011-12-16T14:46:25.333,3,2,5,,4,501
873,2011-12-12T02:47:52.843,2011-12-12T22:26:15.483,5,1,2,,5,708
875,2011-12-12T08:46:32.107,2011-12-15T10:35:35.927,9,2,0,,9,936
881,2011-12-12T16:52:50.593,2012-02-13T07:21:09.397,7,1,4,1,9,1624
884,2011-12-12T23:17:51.153,2012-02-08T17:42:24.940,11,1,3,1,14,183
885,2011-12-12T23:23:18.537,2015-03-13T06:31:22.073,6,3,2,,6,809
888,2011-12-13T02:23:33.920,2012-01-02T07:34:46.807,9,4,0,,9,11133
898,2011-12-13T18:10:26.583,2011-12-13T20:05:59.860,4,1,1,,4,1554
899,2011-12-13T18:17:17.693,2011-12-19T22:27:14.777,4,1,1,,4,556
900,2011-12-13T18:27:16.863,2015-08-23T23:38:34.393,11,4,3,1,13,7546
903,2011-12-13T19:15:33.753,2011-12-13T19:47:35.920,4,1,1,,4,127
904,2011-12-13T19:29:34.460,2012-02-13T07:19:32.547,4,1,0,,4,438
910,2011-12-13T23:33:40.077,2011-12-15T08:36:54.260,4,2,3,1,5,2985
913,2011-12-14T08:40:20.200,2015-06-05T03:18:40.593,22,9,0,4,27,10823
914,2011-12-14T08:48:37.653,2015-08-02T01:21:08.657,12,3,3,,12,2944
917,2011-12-14T09:30:57.290,2015-11-21T18:47:33.520,8,2,0,,9,94176
918,2011-12-14T09:38:56.100,2015-08-14T06:56:29.640,19,4,5,2,23,10531
922,2011-12-14T17:00:55.393,2011-12-14T18:06:05.723,9,1,1,1,10,328
924,2011-12-14T17:57:03.540,2012-03-12T13:25:10.137,4,3,0,,4,1830
932,2011-12-14T22:32:32.113,2011-12-15T18:20:22.513,5,1,1,,5,119
933,2011-12-14T22:35:50.187,2012-03-05T13:01:32.227,5,2,0,,5,1093
934,2011-12-14T22:45:26.080,2011-12-15T14:39:51.963,4,1,0,,4,1757
935,2011-12-14T22:50:35.320,2014-06-23T06:50:04.630,6,2,0,1,7,3228
964,2011-12-15T15:43:26.783,2011-12-16T12:58:09.897,7,1,2,1,9,1009
965,2011-12-15T16:03:18.990,2011-12-17T13:23:28.750,6,2,1,1,8,927
969,2011-12-15T18:34:30.053,2011-12-16T13:15:02.383,3,3,1,1,4,3205
970,2011-12-15T19:29:19.040,2014-04-26T20:18:13.960,3,2,0,,3,4199
973,2011-12-16T00:06:54.267,2011-12-16T00:37:45.267,4,1,0,1,5,1649
974,2011-12-16T00:20:11.213,2013-11-19T02:32:00.890,4,5,0,,4,787
980,2011-12-16T05:55:34.593,2014-07-14T19:44:26.073,11,4,5,,11,2824
987,2011-12-16T14:27:52.307,2013-12-28T16:08:34.840,6,3,1,,6,211
992,2011-12-16T17:49:54.060,2011-12-20T15:48:01.100,8,4,0,1,9,3808
993,2011-12-16T18:07:10.030,2011-12-16T18:54:58.617,2,1,0,,2,703
997,2011-12-16T19:07:58.333,2011-12-19T09:07:49.707,2,3,0,,2,381
1000,2011-12-16T22:54:18.907,2013-12-10T23:49:07.620,9,2,0,2,11,6164
1001,2011-12-16T23:29:23.337,2011-12-20T10:42:28.477,7,1,1,,7,1141
1004,2011-12-17T02:02:49.927,2013-03-31T16:43:30.513,6,2,1,1,7,4112
1005,2011-12-17T02:36:38.560,2011-12-17T07:58:00.420,2,1,0,,2,351
1006,2011-12-17T02:45:54.830,2012-05-30T22:21:02.447,0,2,0,1,1,336
1038,2011-12-19T22:38:52.930,2012-06-30T00:18:16.237,3,1,0,,3,7529
1039,2011-12-19T22:54:29.490,2012-03-08T00:19:36.040,6,2,1,1,7,2830
1041,2011-12-20T00:52:16.147,2012-01-13T00:48:37.003,1,2,2,,1,1146
1042,2011-12-20T00:59:23.997,2012-06-30T00:17:57.423,4,5,0,,5,4477
1048,2011-12-20T16:26:32.960,2011-12-23T23:12:57.953,5,3,1,,5,870
1051,2011-12-20T21:46:12.940,2011-12-21T00:17:51.333,3,2,0,1,4,2497
1054,2011-12-21T00:36:52.833,2011-12-21T11:26:27.413,0,1,0,1,1,363
1055,2011-12-21T06:10:08.617,2012-06-14T02:36:33.347,2,1,0,,3,1118
1056,2011-12-21T06:18:53.393,2012-01-03T04:40:51.430,2,3,1,2,4,159
1057,2011-12-21T06:29:41.380,2011-12-21T19:31:39.750,1,3,0,2,3,202
1063,2011-12-21T14:44:59.967,2012-02-27T17:24:34.850,7,4,0,,7,827
1067,2011-12-21T19:47:43.680,2011-12-22T08:18:06.487,2,2,0,1,3,937
1071,2011-12-22T13:04:22.493,2015-04-11T20:18:42.217,13,9,4,,14,3186
1076,2011-12-23T05:53:12.847,2011-12-24T00:57:55.997,2,3,3,,2,1489
1077,2011-12-23T05:55:41.970,2012-02-29T21:02:13.343,2,2,0,,2,22653
1078,2011-12-23T06:11:14.440,2012-03-04T16:40:39.977,3,2,1,,3,753
1079,2011-12-23T06:18:04.023,2011-12-23T15:35:51.263,3,1,0,,3,1270
1080,2011-12-23T06:42:12.563,2011-12-26T16:53:28.917,4,2,0,,4,975
1094,2011-12-24T04:50:22.857,2011-12-26T17:26:52.887,2,2,0,,2,701
1096,2011-12-25T06:38:42.027,2011-12-26T20:39:37.900,2,2,0,,2,31875
1099,2011-12-26T01:12:12.143,2015-09-25T03:34:14.743,9,6,10,1,10,1464
1108,2011-12-26T20:26:58.987,2013-06-10T20:58:12.473,8,3,2,1,10,3456
1110,2011-12-27T00:56:56.420,2012-03-20T17:11:46.603,4,1,0,2,6,457
1113,2011-12-27T05:53:33.657,2011-12-27T07:44:40.493,0,1,0,1,1,311
1116,2011-12-27T14:57:52.193,2013-10-01T10:19:51.050,2,1,0,,2,2958
1118,2011-12-27T15:16:12.290,2014-06-25T12:55:23.247,3,3,0,,3,203
1120,2011-12-27T20:34:03.967,2012-01-04T18:31:49.433,3,2,1,,3,156
1122,2011-12-28T01:00:27.353,2011-12-28T08:16:44.123,2,1,0,,2,1636
1123,2011-12-28T01:35:33.730,2015-01-16T20:40:54.617,7,2,0,1,10,5364
1127,2011-12-28T02:04:38.563,2011-12-29T01:25:32.007,2,1,4,,2,130
