,Accepted,AcceptedAnsId,Age_vot,AnsId,AnsRank,Ans_count,DRank,Downvotes,Norm_DRank,Norm_Pos,QuestionId,ReScore,Score,Upvotes,Votes,Norm_Pos_2
1,False,56.0,952,4,4,6,0,0.0,0.0,0.666666666667,1.0,0.0,1.0,1.0,0.0,0.444444444444
3,False,56.0,952,5,5,6,0,1.0,0.0,0.833333333333,1.0,0.0,1.0,0.0,0.0,0.694444444444
2553,False,56.0,952,897,6,6,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,True,56.0,1232,56,1,6,0,0.0,0.0,0.166666666667,1.0,0.875,1.0,1.0,0.0,0.0277777777778
10552,False,56.0,1232,7030,2,6,0,0.0,0.0,0.333333333333,1.0,0.5,1.0,1.0,1.0,0.111111111111
838,False,56.0,1232,210,3,6,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
1,False,56.0,1232,4,4,6,0,0.0,0.0,0.666666666667,1.0,0.0,1.0,1.0,0.0,0.444444444444
3,False,56.0,1232,5,5,6,0,1.0,0.0,0.833333333333,1.0,0.0,1.0,0.0,0.0,0.694444444444
2553,False,56.0,1232,897,6,6,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,True,56.0,1256,56,1,6,0,0.0,0.0,0.166666666667,1.0,0.875,1.0,1.0,0.0,0.0277777777778
10553,False,56.0,1256,7030,2,6,0,0.0,0.0,0.333333333333,1.0,0.666666666667,1.0,1.0,1.0,0.111111111111
838,False,56.0,1256,210,3,6,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
1,False,56.0,1256,4,4,6,0,0.0,0.0,0.666666666667,1.0,0.0,1.0,1.0,0.0,0.444444444444
3,False,56.0,1256,5,5,6,0,1.0,0.0,0.833333333333,1.0,0.0,1.0,0.0,0.0,0.694444444444
2553,False,56.0,1256,897,6,6,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,True,56.0,1285,56,1,6,0,0.0,0.0,0.166666666667,1.0,0.875,1.0,1.0,0.0,0.0277777777778
10554,False,56.0,1285,7030,2,6,0,0.0,0.0,0.333333333333,1.0,0.75,1.0,1.0,1.0,0.111111111111
838,False,56.0,1285,210,3,6,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
1,False,56.0,1285,4,4,6,0,0.0,0.0,0.666666666667,1.0,0.0,1.0,1.0,0.0,0.444444444444
3,False,56.0,1285,5,5,6,0,1.0,0.0,0.833333333333,1.0,0.0,1.0,0.0,0.0,0.694444444444
2553,False,56.0,1285,897,6,6,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,True,56.0,1401,56,1,6,0,0.0,0.0,0.166666666667,1.0,0.875,1.0,1.0,0.0,0.0277777777778
10555,False,56.0,1401,7030,2,6,0,0.0,0.0,0.333333333333,1.0,0.8,1.0,1.0,1.0,0.111111111111
838,False,56.0,1401,210,3,6,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
1,False,56.0,1401,4,4,6,0,0.0,0.0,0.666666666667,1.0,0.0,1.0,1.0,0.0,0.444444444444
3,False,56.0,1401,5,5,6,0,1.0,0.0,0.833333333333,1.0,0.0,1.0,0.0,0.0,0.694444444444
2553,False,56.0,1401,897,6,6,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,False,-1.0,1436,56,1,7,0,0.0,0.0,0.142857142857,1.0,0.875,1.0,1.0,0.0,0.0204081632653
10555,False,-1.0,1436,7030,2,7,0,0.0,0.0,0.285714285714,1.0,0.8,1.0,1.0,0.0,0.0816326530612
838,False,-1.0,1436,210,3,7,0,0.0,0.0,0.428571428571,1.0,0.0,1.0,1.0,0.0,0.183673469388
1,False,-1.0,1436,4,4,7,0,0.0,0.0,0.571428571429,1.0,0.0,1.0,1.0,0.0,0.326530612245
3,False,-1.0,1436,5,5,7,0,1.0,0.0,0.714285714286,1.0,0.0,1.0,0.0,0.0,0.510204081633
14633,False,-1.0,1436,15104,6,7,0,3.0,0.0,0.857142857143,1.0,0.0,0.0,0.0,3.0,0.734693877551
2553,False,-1.0,1436,897,7,7,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
4,False,-1.0,0,6,1,5,0,0.0,0.0,0.2,2.0,0.0,0.0,1.0,1.0,0.04
5,False,-1.0,0,8,2,5,0,0.0,0.0,0.4,2.0,0.0,0.0,1.0,1.0,0.16
12,False,-1.0,0,10,3,5,0,0.0,0.0,0.6,2.0,0.0,0.0,3.0,3.0,0.36
25,False,-1.0,0,13,4,5,0,0.0,0.0,0.8,2.0,0.0,0.0,3.0,3.0,0.64
239,False,-1.0,0,59,5,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
13,True,10.0,1,10,1,5,0,0.0,0.0,0.2,2.0,0.0,3.0,1.0,1.0,0.04
26,False,10.0,1,13,2,5,0,0.0,0.0,0.4,2.0,0.0,3.0,1.0,1.0,0.16
4,False,10.0,1,6,3,5,0,0.0,0.0,0.6,2.0,0.0,0.0,1.0,0.0,0.36
5,False,10.0,1,8,4,5,0,0.0,0.0,0.8,2.0,0.0,0.0,1.0,0.0,0.64
239,False,10.0,1,59,5,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
14,True,10.0,2,10,1,5,0,0.0,0.0,0.2,2.0,0.75,1.0,1.0,1.0,0.04
26,False,10.0,2,13,2,5,0,0.0,0.0,0.4,2.0,0.0,3.0,1.0,0.0,0.16
4,False,10.0,2,6,3,5,0,0.0,0.0,0.6,2.0,0.0,0.0,1.0,0.0,0.36
5,False,10.0,2,8,4,5,0,0.0,0.0,0.8,2.0,0.0,0.0,1.0,0.0,0.64
239,False,10.0,2,59,5,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
15,True,10.0,15,10,1,5,0,0.0,0.0,0.2,2.0,0.8,1.0,1.0,1.0,0.04
27,False,10.0,15,13,2,5,0,0.0,0.0,0.4,2.0,0.75,1.0,1.0,1.0,0.16
4,False,10.0,15,6,3,5,0,0.0,0.0,0.6,2.0,0.0,0.0,1.0,0.0,0.36
5,False,10.0,15,8,4,5,0,0.0,0.0,0.8,2.0,0.0,0.0,1.0,0.0,0.64
239,False,10.0,15,59,5,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
16,True,10.0,26,10,1,5,0,0.0,0.0,0.2,2.0,0.833333333333,1.0,1.0,1.0,0.04
27,False,10.0,26,13,2,5,0,0.0,0.0,0.4,2.0,0.75,1.0,1.0,0.0,0.16
4,False,10.0,26,6,3,5,0,0.0,0.0,0.6,2.0,0.0,0.0,1.0,0.0,0.36
5,False,10.0,26,8,4,5,0,0.0,0.0,0.8,2.0,0.0,0.0,1.0,0.0,0.64
239,False,10.0,26,59,5,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
17,True,10.0,808,10,1,5,0,0.0,0.0,0.2,2.0,0.857142857143,1.0,1.0,1.0,0.04
27,False,10.0,808,13,2,5,0,0.0,0.0,0.4,2.0,0.75,1.0,1.0,0.0,0.16
4,False,10.0,808,6,3,5,0,0.0,0.0,0.6,2.0,0.0,0.0,1.0,0.0,0.36
5,False,10.0,808,8,4,5,0,0.0,0.0,0.8,2.0,0.0,0.0,1.0,0.0,0.64
239,False,10.0,808,59,5,5,0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
6,False,-1.0,0,9,1,6,0,0.0,0.0,0.166666666667,3.0,0.0,0.0,4.0,4.0,0.0277777777778
472,False,-1.0,0,109,2,6,0,0.0,0.0,0.333333333333,3.0,0.0,0.0,1.0,1.0,0.111111111111
78,False,-1.0,0,35,3,6,0,0.0,0.0,0.5,3.0,0.0,0.0,1.0,1.0,0.25
18,False,-1.0,0,11,4,6,0,0.0,0.0,0.666666666667,3.0,0.0,0.0,3.0,3.0,0.444444444444
28,False,-1.0,0,15,5,6,0,1.0,0.0,0.833333333333,3.0,0.0,0.0,0.0,1.0,0.694444444444
23,False,-1.0,0,12,6,6,0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0
473,True,109.0,1,109,1,7,0,0.0,0.0,0.142857142857,3.0,0.0,1.0,4.0,4.0,0.0204081632653
7,False,109.0,1,9,2,7,0,0.0,0.0,0.285714285714,3.0,0.0,4.0,1.0,1.0,0.0816326530612
19,False,109.0,1,11,3,7,0,0.0,0.0,0.428571428571,3.0,0.0,3.0,1.0,1.0,0.183673469388
79,False,109.0,1,35,4,7,0,0.0,0.0,0.571428571429,3.0,0.0,1.0,1.0,1.0,0.326530612245
565,False,109.0,1,143,5,7,0,0.0,0.0,0.714285714286,3.0,0.0,0.0,1.0,1.0,0.510204081633
29,False,109.0,1,15,6,7,0,1.0,0.0,0.857142857143,3.0,0.0,-1.0,0.0,1.0,0.734693877551
24,False,109.0,1,12,7,7,0,1.0,0.0,1.0,3.0,0.0,-1.0,0.0,1.0,1.0
474,True,109.0,2,109,1,7,-1,0.0,-0.142857142857,0.142857142857,3.0,0.5,4.0,1.0,1.0,0.0204081632653
7,False,109.0,2,9,2,7,-1,0.0,-0.142857142857,0.285714285714,3.0,0.0,4.0,1.0,0.0,0.0816326530612
20,False,109.0,2,11,3,7,2,0.0,0.285714285714,0.428571428571,3.0,0.75,1.0,1.0,1.0,0.183673469388
79,False,109.0,2,35,4,7,0,0.0,0.0,0.571428571429,3.0,0.0,1.0,1.0,0.0,0.326530612245
565,False,109.0,2,143,5,7,0,0.0,0.0,0.714285714286,3.0,0.0,0.0,1.0,0.0,0.510204081633
30,False,109.0,2,15,6,7,-1,1.0,-0.142857142857,0.857142857143,3.0,-0.5,-1.0,0.0,1.0,0.734693877551
24,False,109.0,2,12,7,7,1,1.0,0.142857142857,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
475,True,109.0,3,109,1,7,0,0.0,0.0,0.142857142857,3.0,0.833333333333,1.0,1.0,1.0,0.0204081632653
7,False,109.0,3,9,2,7,-1,0.0,-0.142857142857,0.285714285714,3.0,0.0,4.0,1.0,0.0,0.0816326530612
20,False,109.0,3,11,3,7,1,0.0,0.142857142857,0.428571428571,3.0,0.75,1.0,1.0,0.0,0.183673469388
79,False,109.0,3,35,4,7,0,0.0,0.0,0.571428571429,3.0,0.0,1.0,1.0,0.0,0.326530612245
565,False,109.0,3,143,5,7,0,0.0,0.0,0.714285714286,3.0,0.0,0.0,1.0,0.0,0.510204081633
30,False,109.0,3,15,6,7,-1,1.0,-0.142857142857,0.857142857143,3.0,-0.5,-1.0,0.0,0.0,0.734693877551
24,False,109.0,3,12,7,7,1,1.0,0.142857142857,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
7,False,-1.0,5,9,1,8,-2,0.0,-0.25,0.125,3.0,0.0,4.0,1.0,0.0,0.015625
475,False,-1.0,5,109,2,8,1,0.0,0.125,0.25,3.0,0.833333333333,1.0,1.0,0.0,0.0625
20,False,-1.0,5,11,3,8,1,0.0,0.125,0.375,3.0,0.75,1.0,1.0,0.0,0.140625
79,False,-1.0,5,35,4,8,0,0.0,0.0,0.5,3.0,0.0,1.0,1.0,0.0,0.25
1343,False,-1.0,5,410,5,8,0,0.0,0.0,0.625,3.0,0.0,0.0,1.0,1.0,0.390625
565,False,-1.0,5,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,-1.0,5,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,-1.0,5,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
475,True,109.0,6,109,1,8,0,0.0,0.0,0.125,3.0,0.833333333333,1.0,1.0,0.0,0.015625
7,False,109.0,6,9,2,8,-1,0.0,-0.125,0.25,3.0,0.0,4.0,1.0,0.0,0.0625
1344,False,109.0,6,410,3,8,-1,0.0,-0.125,0.375,3.0,0.0,1.0,1.0,1.0,0.140625
20,False,109.0,6,11,4,8,2,0.0,0.25,0.5,3.0,0.75,1.0,1.0,0.0,0.25
79,False,109.0,6,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,6,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,6,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,6,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
475,True,109.0,8,109,1,8,0,0.0,0.0,0.125,3.0,0.833333333333,1.0,1.0,0.0,0.015625
7,False,109.0,8,9,2,8,-2,0.0,-0.25,0.25,3.0,0.0,4.0,1.0,0.0,0.0625
1345,False,109.0,8,410,3,8,0,0.0,0.0,0.375,3.0,0.5,1.0,1.0,1.0,0.140625
20,False,109.0,8,11,4,8,2,0.0,0.25,0.5,3.0,0.75,1.0,1.0,0.0,0.25
79,False,109.0,8,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,8,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,8,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,8,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
476,True,109.0,13,109,1,8,0,0.0,0.0,0.125,3.0,0.857142857143,1.0,1.0,1.0,0.015625
8,False,109.0,13,9,2,8,0,0.0,0.0,0.25,3.0,0.8,1.0,1.0,1.0,0.0625
21,False,109.0,13,11,3,8,0,1.0,0.0,0.375,3.0,0.8,1.0,0.0,1.0,0.140625
1345,False,109.0,13,410,4,8,0,0.0,0.0,0.5,3.0,0.5,1.0,1.0,0.0,0.25
79,False,109.0,13,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,13,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,13,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,13,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
477,True,109.0,30,109,1,8,0,0.0,0.0,0.125,3.0,0.875,1.0,1.0,1.0,0.015625
8,False,109.0,30,9,2,8,0,0.0,0.0,0.25,3.0,0.8,1.0,1.0,0.0,0.0625
21,False,109.0,30,11,3,8,0,1.0,0.0,0.375,3.0,0.8,1.0,0.0,0.0,0.140625
1345,False,109.0,30,410,4,8,0,0.0,0.0,0.5,3.0,0.5,1.0,1.0,0.0,0.25
79,False,109.0,30,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,30,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,30,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,30,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
478,True,109.0,48,109,1,8,0,0.0,0.0,0.125,3.0,0.888888888889,1.0,1.0,1.0,0.015625
8,False,109.0,48,9,2,8,0,0.0,0.0,0.25,3.0,0.8,1.0,1.0,0.0,0.0625
21,False,109.0,48,11,3,8,0,1.0,0.0,0.375,3.0,0.8,1.0,0.0,0.0,0.140625
1345,False,109.0,48,410,4,8,0,0.0,0.0,0.5,3.0,0.5,1.0,1.0,0.0,0.25
79,False,109.0,48,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,48,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,48,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,48,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
479,True,109.0,65,109,1,8,0,0.0,0.0,0.125,3.0,0.9,1.0,1.0,1.0,0.015625
1346,False,109.0,65,410,2,8,-2,0.0,-0.25,0.25,3.0,0.666666666667,1.0,1.0,1.0,0.0625
8,False,109.0,65,9,3,8,1,0.0,0.125,0.375,3.0,0.8,1.0,1.0,0.0,0.140625
21,False,109.0,65,11,4,8,1,1.0,0.125,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,65,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,65,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,65,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,65,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
480,True,109.0,362,109,1,8,0,1.0,0.0,0.125,3.0,0.909090909091,1.0,0.0,1.0,0.015625
1347,False,109.0,362,410,2,8,-2,0.0,-0.25,0.25,3.0,0.75,1.0,1.0,1.0,0.0625
9,False,109.0,362,9,3,8,1,0.0,0.125,0.375,3.0,0.833333333333,1.0,1.0,1.0,0.140625
21,False,109.0,362,11,4,8,1,1.0,0.125,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,362,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,362,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,362,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,362,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
480,True,109.0,401,109,1,8,0,1.0,0.0,0.125,3.0,0.909090909091,1.0,0.0,0.0,0.015625
10,False,109.0,401,9,2,8,0,0.0,0.0,0.25,3.0,0.857142857143,1.0,1.0,1.0,0.0625
1347,False,109.0,401,410,3,8,-1,0.0,-0.125,0.375,3.0,0.75,1.0,1.0,0.0,0.140625
21,False,109.0,401,11,4,8,1,1.0,0.125,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,401,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,401,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,401,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,401,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
480,True,109.0,491,109,1,8,0,1.0,0.0,0.125,3.0,0.909090909091,1.0,0.0,0.0,0.015625
1348,False,109.0,491,410,2,8,-1,0.0,-0.125,0.25,3.0,0.8,1.0,1.0,1.0,0.0625
10,False,109.0,491,9,3,8,1,0.0,0.125,0.375,3.0,0.857142857143,1.0,1.0,0.0,0.140625
21,False,109.0,491,11,4,8,0,1.0,0.0,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,491,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,491,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,491,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,491,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
481,True,109.0,521,109,1,8,0,0.0,0.0,0.125,3.0,0.916666666667,-1.0,1.0,1.0,0.015625
1349,False,109.0,521,410,2,8,-1,0.0,-0.125,0.25,3.0,0.833333333333,1.0,1.0,1.0,0.0625
10,False,109.0,521,9,3,8,1,0.0,0.125,0.375,3.0,0.857142857143,1.0,1.0,0.0,0.140625
21,False,109.0,521,11,4,8,0,1.0,0.0,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,521,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,521,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,521,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,521,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
482,True,109.0,615,109,1,8,-3,0.0,-0.375,0.125,3.0,0.769230769231,1.0,1.0,1.0,0.015625
11,False,109.0,615,9,2,8,1,0.0,0.125,0.25,3.0,0.875,1.0,1.0,1.0,0.0625
1349,False,109.0,615,410,3,8,1,0.0,0.125,0.375,3.0,0.833333333333,1.0,1.0,0.0,0.140625
21,False,109.0,615,11,4,8,1,1.0,0.125,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,615,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,615,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,615,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,615,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
483,True,109.0,739,109,1,8,-3,0.0,-0.375,0.125,3.0,0.785714285714,1.0,1.0,1.0,0.015625
11,False,109.0,739,9,2,8,1,0.0,0.125,0.25,3.0,0.875,1.0,1.0,0.0,0.0625
1349,False,109.0,739,410,3,8,1,0.0,0.125,0.375,3.0,0.833333333333,1.0,1.0,0.0,0.140625
21,False,109.0,739,11,4,8,1,1.0,0.125,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,739,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,739,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,739,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,739,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
484,True,109.0,743,109,1,8,-2,0.0,-0.25,0.125,3.0,0.8,1.0,1.0,1.0,0.015625
11,False,109.0,743,9,2,8,1,0.0,0.125,0.25,3.0,0.875,1.0,1.0,0.0,0.0625
1349,False,109.0,743,410,3,8,1,0.0,0.125,0.375,3.0,0.833333333333,1.0,1.0,0.0,0.140625
21,False,109.0,743,11,4,8,0,1.0,0.0,0.5,3.0,0.8,1.0,0.0,0.0,0.25
79,False,109.0,743,35,5,8,0,0.0,0.0,0.625,3.0,0.0,1.0,1.0,0.0,0.390625
565,False,109.0,743,143,6,8,0,0.0,0.0,0.75,3.0,0.0,0.0,1.0,0.0,0.5625
30,False,109.0,743,15,7,8,-1,1.0,-0.125,0.875,3.0,-0.5,-1.0,0.0,0.0,0.765625
24,False,109.0,743,12,8,8,1,1.0,0.125,1.0,3.0,0.0,-1.0,0.0,0.0,1.0
